speaker,timestamp,text,topic,source,date
Kamala Harris,4:07,"My plan is to give a $50,000 tax deduction to start-up small businesses, knowing they are part of the backbone of America's economy.","Economy, Small Business, Tax Policy",ABC News Presidential Debate: Race for the White House,2024-09-25
Donald Trump,6:02,"On top of that, we have millions of people pouring into our country from prisons and jails, from mental institutions and insane asylums... They're dangerous. They're at the highest level of criminality.","Immigration, Crime, Rhetoric",ABC News Presidential Debate: Race for the White House,2024-09-25
Kamala Harris,7:07,Donald Trump left us the worst unemployment since the Great Depression. Donald Trump left us the worst public health epidemic in a century. Donald Trump left us the worst attack on our democracy since the Civil War.,"Presidential Record, Economy, COVID-19, January 6th",ABC News Presidential Debate: Race for the White House,2024-09-25
Donald Trump,34:06:00,Do you know that crime in Venezuela and crime in countries all over the world is way down? You know why? Because they've taken their criminals off the street and they've given them to her to put into our country.,"Immigration, Crime, Venezuela, Rhetoric",ABC News Presidential Debate: Race for the White House,2024-09-25
Kamala Harris,39:34:00,"I have not banned fracking as Vice President of the United States. And, in fact, I was the tie-breaking vote on the Inflation Reduction Act, which opened new leases for fracking.","Energy Policy, Fracking, Inflation Reduction Act, Senate Vote",ABC News Presidential Debate: Race for the White House,2024-09-25
Kamala Harris,1:21:28,"I have a plan that is about... offering help with down payment of $25,000, down payment assistance for first-time home buyers.","Housing, Economy, Policy Proposal",ABC News Presidential Debate: Race for the White House,2024-09-25
Kamala Harris,20:26,"But understand, if Donald Trump were to be re-elected, he will sign a national abortion ban. Understand in his Project 2025 there would be a national abortion ban.","Abortion, Project 2025, Federal vs. State Power",ABC News Presidential Debate: Race for the White House,2024-09-25
Donald Trump,20:53,"Well, there she goes again. It's a lie. I'm not signing a ban. And there's no reason to sign a ban. Because we've gotten what everybody wanted... the states are now voting.","Abortion, Project 2025, Federal vs. State Power",ABC News Presidential Debate: Race for the White House,2024-09-25
Kamala Harris,27:12:00,"But you know what happened to that bill? Donald Trump got on the phone, called up some folks in Congress, and said kill the bill. And you know why? Because he preferred to run on a problem instead of fixing a problem.","Immigration, Border Security, Legislation, Executive Power",ABC News Presidential Debate: Race for the White House,2024-09-25
Donald Trump,50:10:00,Because they have the right to do it. They don't need bills. They have the right to do it. The President of the United States... all he has to do is say it to the border patrol... the border is closed.,"Immigration, Border Security, Legislation, Executive Power",ABC News Presidential Debate: Race for the White House,2024-09-25
Kamala Harris,1:00:57,"It is well known that he admires dictators... these dictators and autocrats are rooting for you to be president again because they're so clear, they can manipulate you with flattery and favors.","Foreign Policy, NATO, Russia, Dictators, Strength vs. Alliances",ABC News Presidential Debate: Race for the White House,2024-09-25
Donald Trump,1:02:29,"The leaders of other countries think that they're weak and incompetent. And they are. They're grossly incompetent... I got them to pay up by saying one of the statements you made before, if you don't pay we're not going to protect you.","Foreign Policy, NATO, Russia, Dictators, Strength vs. Alliances",ABC News Presidential Debate: Race for the White House,2024-09-25
Donald Trump,1:12:10,"I got them to pay up by saying one of the statements you made before, if you don't pay we're not going to protect you.","Foreign Policy, NATO, Russia, Dictators, Strength vs. Alliances",ABC News Presidential Debate: Race for the White House,2024-09-25
Kamala Harris,1:13:12,Donald Trump when he was president negotiated one of the weakest deals you can imagine... He bypassed the Afghan government. He negotiated directly with a terrorist organization called the Taliban... invited the Taliban to Camp David.,"Afghanistan, Military, Foreign Policy, Blame",ABC News Presidential Debate: Race for the White House,2024-09-25
Donald Trump,1:15:27,"It was a very good agreement... we wouldn't have lost the soldiers... we wouldn't have left $85 billion worth of brand new beautiful military equipment behind... And just to finish, they blew it.","Afghanistan, Military, Foreign Policy, Blame",ABC News Presidential Debate: Race for the White House,2024-09-25